Brand Name,T-shirt Name,Review,sentiment
infirax,women round neck black t shirt,Fabric and size is good,
infirax,women round neck black t shirt,Too good,
infirax,women round neck black t shirt,"Just loved the fabric of this tshirt ðŸ˜
It's amazing
So comfortable",
infirax,women round neck black t shirt,This product is really good and quality is amazing you can go for it â¤ï¸âœ¨,
infirax,women round neck black t shirt,Perfect ðŸ‘ðŸ‘ðŸ‘,
infirax,women round neck black t shirt,Very nice fitting . So soft fabric.,
infirax,women round neck black t shirt,"Amazing cotton product,",
infirax,women round neck black t shirt,Very nice,
infirax,women round neck black t shirt,Very bad quality,n
infirax,women round neck black t shirt,Comparing to its price the cloth quality is so much good,
infirax,women round neck black t shirt,Thanks,
infirax,women round neck black t shirt,Good product,
infirax,women round neck black t shirt,Good ðŸ‘ product and so comfortable to put,
infirax,women round neck black t shirt,Nice quality,
infirax,women round neck black t shirt,Very large size,
infirax,women round neck black t shirt,Superb,
infirax,women round neck black t shirt,I like this productðŸ¥°ðŸ¥°,
infirax,women round neck black t shirt,Nice,
infirax,women round neck black t shirt,good,
infirax,women round neck black t shirt,Everything is good about this tshirt I love itttt ðŸ¤ŒðŸ˜­,
infirax,women round neck black t shirt,Not good quality ðŸ˜¢,n
infirax,women round neck black t shirt,"Very good product,i luv itt
Cloth quality -10/10
Print -10/10
Color -10/10",
infirax,women round neck black t shirt,Nice,
infirax,women round neck black t shirt,Best overdosed t shirtðŸ’–ðŸ’–,
infirax,women round neck black t shirt,Nice,
infirax,women round neck black t shirt,Very good ðŸ‘ðŸ»,
infirax,women round neck black t shirt,Very nice 10 / 10,
infirax,women round neck black t shirt,I like the product,
infirax,women round neck black t shirt,Good ðŸ˜Š,
infirax,women round neck black t shirt,Good,
infirax,women round neck black t shirt,Vary good quality,
infirax,women round neck black t shirt,Nice febric in this price,
infirax,women round neck black t shirt,"T-shirt is really nice I just love it, I mean guys you can go for it, it's good for summer season too and that letters and the cartoon is printed so wellâœ¨ðŸŒ¸ðŸ˜š",
infirax,women round neck black t shirt,Literally the best one I had purchased ever,
infirax,women round neck black t shirt,Good ðŸ‘ðŸ‘,
infirax,women round neck black t shirt,Good material ðŸ‘ and I like it,
infirax,women round neck black t shirt,Nice fabric nice look .,
infirax,women round neck black t shirt,Quality was good value for money,
infirax,women round neck black t shirt,Nice product,
infirax,women round neck black t shirt,Very nice ðŸ‘ŒðŸ¤©,
infirax,women round neck black t shirt,Good product,
infirax,women round neck black t shirt,Good product,
infirax,women round neck black t shirt,Good quality for this price ðŸ™Œ,
infirax,women round neck black t shirt,Osm,
